영업상태명,상세영업상태코드,상세영업상태명,전화번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
영업/정상,1,정상영업,02-430-4200,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 506호 (낙원동),3140,낙원상가,그 밖의 대규모점포,198838.913,452214.211,대규모점포
영업/정상,1,정상영업,02-743-6133,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 (낙원동),3140,낙원상가,그 밖의 대규모점포,198838.913,452214.211,대규모점포
영업/정상,1,정상영업,2267-0291,서울특별시 종로구 예지동 6번지 1호,서울특별시 종로구 예지동 6번지 1호,,광장주식회사,시장,199837.4143,451974.1285,
영업/정상,1,정상영업,02-2253-8541,서울특별시 성동구 성수동1가 656-1208 성수만세주유소,서울특별시 성동구 왕십리로 109 성수만세주유소 (성수동1가),4768,홈플러스익스프레스 뚝섬2점,구분없음,203841.2255,449475.5401,
영업/정상,1,정상영업,02 3995591,서울특별시 종로구 서린동 33호   ,서울특별시 종로구 서린동 33호   ,,영풍문고,대형마트,198351.8187,451921.603,
영업/정상,1,정상영업,236760177,서울특별시 종로구 창신동 436번지 79  호   ,서울특별시 종로구 창신동 436번지 79  호   ,,동대문신발도매상가,그 밖의 대규모점포,,,
영업/정상,1,정상영업,222798751,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가),3198,동대문종합시장D동상가,그 밖의 대규모점포,200579.4098,452035.3477,준대규모점포
영업/정상,1,정상영업,02-743-8546,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,서울특별시 종로구 종로 347 (숭인동),110876,홈플러스(주)익스프레스 숭인점,구분없음,201359.5335,452395.6591,
영업/정상,1,정상영업,763-0181,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,서울특별시 종로구 지봉로 81 (창신동 브라운스톤 창신),3095,브라운스톤 창신상가,그 밖의 대규모점포,201258.0627,452787.1328,준대규모점포
영업/정상,1,정상영업,222770114,서울특별시 종로구 종로6가 289번지 57호,서울특별시 종로구 종로 272 (종로6가),110126,동대문종합시장 신관,그 밖의 대규모점포,200647.0133,452054.7649,대규모점포
영업/정상,1,정상영업,02-868-8726,서울특별시 구로구 구로1동 650번지 4호 SK허브수 제B동 제118호제119호제121호~126호,서울특별시  구일로10길 27 B동 1층 (제118호제119호제121호~126호),152720,홈플러스 익스프레스 서울구로점,구분없음,188674.9951,443749.503,
영업/정상,1,정상영업,02-941-5610,서울특별시 성북구 길음동 1274번지 67호,서울특별시 성북구 길음로13길 22 (길음동 길음뉴타운7단지두산위브아파트),136732,롯데마이슈퍼 길음점,구분없음,201706.214,456753.5656,
영업/정상,1,정상영업,2267-0291,서울특별시 종로구 예지동 6번지 1호,서울특별시 종로구 창경궁로 88 (예지동),110834,광장시장,복합쇼핑몰,199837.4143,451974.1285,
영업/정상,1,정상영업,02  519 2800,서울특별시 종로구 서린동 33번지 영풍빌딩,서울특별시 종로구 청계천로 41 (서린동),110752,(주)영풍문고,전문점,198351.8187,451921.603,
휴업,2,휴업처리,22785356,서울특별시 종로구 종로3가 175번지 4호   ,,,종로세운상가,그 밖의 대규모점포,,,
휴업,2,휴업처리,02 22785356,서울특별시 종로구 종로3가 175번지 4호   ,,,종로세운상가,그 밖의 대규모점포,,,
영업/정상,1,정상영업,02-2012-0101,서울특별시 용산구 한강로3가 40번지 999호,서울특별시 용산구 한강대로23길 55 (한강로3가),140780,아이파크몰(I PARK MALL),쇼핑센터,196762.0774,447480.0396,
영업/정상,1,정상영업,3413-0276,서울특별시 종로구 인의동 112번지 2호,서울특별시 종로구 창경궁로 109 (인의동),110410,세운스퀘어,그 밖의 대규모점포,199670.9799,452221.775,
영업/정상,1,정상영업,222620209,서울특별시 종로구 종로6가 289번지 3 호,서울특별시 종로구 종로 266 (종로6가),110784,동대문종합시장,그 밖의 대규모점포,200717.749,452011.8651,
휴업,2,휴업처리,031 3395465,서울특별시 종로구 창신동 766호   ,,,숭인제일아케이트,그 밖의 대규모점포,,,
휴업,2,휴업처리,222670291,   호   ,,,광장시장주식회사,그 밖의 대규모점포,,,
폐업,3,폐업처리,02-2171-3182,서울특별시 종로구 창신동 328번지 18호,,,크레타 망고 아울렛,전문점,201273.8878,452163.2925,
폐업,3,폐업처리,7208016,서울특별시 종로구 중학동 62번지 외 66필지,,,중학아케이드,그 밖의 대규모점포,,,대규모점포
영업/정상,1,정상영업,02-2264-8511,서울특별시 중구 산림동 207번지 1호 세운청계상가,서울특별시 중구 청계천로 160 세운청계상가 (산림동),4545,청계상가,그 밖의 대규모점포,199521.2008,451751.4241,대규모점포
영업/정상,1,정상영업,02-753-2805,서울특별시 중구 남창동 49번지,서울특별시 중구 남대문시장4길 21 (남창동),100060,서울남대문시장,그 밖의 대규모점포,197951.1506,450771.0878,대규모점포
영업/정상,1,정상영업,02-2232-3608,,서울특별시 중구 마장로 30 (신당동),100886,팀204,그 밖의 대규모점포,201096.6813,451715.8304,대규모점포
영업/정상,1,정상영업,02-2269-1967,,서울특별시 중구 청계천로 260-9 (을지로6가 통일의류종합상가),4563,통일상가,그 밖의 대규모점포,200541.6377,451814.4595,대규모점포
영업/정상,1,정상영업,222699891,서울특별시 중구 충무로4가 120번지 3   호,서울특별시 중구 퇴계로 217 (충무로4가),,진양상가,그 밖의 대규모점포,199571.5995,451124.8514,대규모점포
영업/정상,1,정상영업,02-778-4611,,서울특별시 중구 삼일대로 363 (장교동),100760,상제리제상가,그 밖의 대규모점포,198744.4332,451677.0651,대규모점포
영업/정상,1,정상영업,222384914,서울특별시 중구 신당동 776호,서울특별시 중구 마장로 19 (신당동),,(주)에리어식스,그 밖의 대규모점포,200989.6866,451762.2615,대규모점포
영업/정상,1,정상영업,2236-8027,서울특별시 중구 흥인동 3번지 4호,서울특별시 중구 다산로 274 (흥인동),,우일타운,전문점,201390.6235,451682.9244,대규모점포
영업/정상,1,정상영업,2278-5191,서울특별시 중구 을지로4가 9번지 6호,서울특별시 중구 을지로 157 (을지로4가),,대림상가,그 밖의 대규모점포,199534.3297,451608.2229,대규모점포
영업/정상,1,정상영업,3459-8000,서울특별시 구로구 오류2동 160번지  외 2필지,서울특별시 구로구 서해안로 2293 (오류동외 2필지),,홈플러스 익스프레스 서울오류점,구분없음,185756.1749,443268.099,
