종사자수,사업체수,맥도날드 매장,쇼핑몰 매장수,지하철역수,은행수
694136 ,71373 ,11 ,59 ,21 ,297 
145990 ,29772 ,3 ,33 ,14 ,57 
72418 ,18918 ,4 ,27 ,3 ,25 
248204 ,38524 ,5 ,30 ,9 ,68 
113944 ,26105 ,1 ,24 ,4 ,49 
127879 ,24535 ,2 ,30 ,11 ,50 
218070 ,38553 ,4 ,49 ,5 ,63 
234012 ,32472 ,4 ,30 ,1 ,49 
118713 ,26616 ,5 ,20 ,12 ,53 
74314 ,18894 ,2 ,17 ,3 ,25 
140748 ,31878 ,3 ,37 ,5 ,49 
112564 ,19916 ,4 ,19 ,10 ,45 
255152 ,37232 ,4 ,35 ,16 ,89 
109490 ,19796 ,3 ,13 ,4 ,48 
438733 ,46540 ,6 ,32 ,10 ,175 
174819 ,27868 ,2 ,24 ,13 ,57 
108201 ,23287 ,3 ,42 ,9 ,51 
342853 ,47772 ,6 ,56 ,23 ,133 
123311 ,26126 ,5 ,32 ,5 ,59 
367557 ,42589 ,4 ,48 ,10 ,132 
141216 ,20813 ,2 ,26 ,9 ,67 
90049 ,24873 ,3 ,35 ,11 ,37 
265017 ,39952 ,4 ,18 ,11 ,115 
390530 ,60957 ,3 ,73 ,14 ,176 
103016 ,28024 ,3 ,15 ,8 ,30 
