시군구명,주민등록인구,스타벅스 매장수,종사자수,사업체수,맥도날드 매장,쇼핑몰 매장수,지하철역수,20년서울시장수,은행수,차량 통행속도 평균
강남구,544085,94,694136,71373,11,59,21,10,297,25
강동구,462275,16,145990,29772,3,33,14,8,57,23
강북구,313550,6,72418,18918,4,27,3,12,25,21.7
강서구,589536,21,248204,38524,5,30,9,11,68,23.6
관악구,514555,11,113944,26105,1,24,4,16,49,25.5
광진구,361923,17,127879,24535,2,30,11,14,50,25.2
구로구,435751,12,218070,38553,4,49,5,9,63,23.3
금천구,249641,11,234012,32472,4,30,1,8,49,23.6
노원구,529532,13,118713,26616,5,20,12,6,53,23.6
도봉구,329300,3,74314,18894,2,17,3,10,25,21.5
동대문구,358679,9,140748,31878,3,37,5,20,49,24.1
동작구,404617,11,112564,19916,4,19,10,9,45,26.8
마포구,383494,32,255152,37232,4,35,16,16,89,24.9
서대문구,323860,20,109490,19796,3,13,4,13,48,24
서초구,429995,51,438733,46540,6,32,10,6,175,26.8
성동구,302695,12,174819,27868,2,24,13,9,57,25.4
성북구,449871,14,108201,23287,3,42,9,9,51,24.5
송파구,676673,34,342853,47772,6,56,23,7,133,24.1
양천구,460048,17,123311,26126,5,32,5,9,59,25.2
영등포구,405982,40,367557,42589,4,48,10,19,132,23.7
용산구,244953,21,141216,20813,2,26,9,7,67,27.1
은평구,485842,8,90049,24873,3,35,11,13,37,21.7
종로구,159842,41,265017,39952,4,18,11,21,115,23.6
중구,135321,56,390530,60957,3,73,14,40,176,21.4
중랑구,400989,8,103016,28024,3,15,8,13,30,23.1
