사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021-09-01,1호선,1,서울역,803949,777637,149599,142668
2021-09-01,1호선,10,동묘앞,110303,118964,139466,140250
2021-09-01,1호선,2,시청,393433,394568,56200,55017
2021-09-01,1호선,3,종각,600610,583385,99437,93411
2021-09-01,1호선,4,종로3가,356925,320272,244633,229243
2021-09-01,1호선,5,종로5가,298511,303620,218858,211256
2021-09-01,1호선,6,동대문,189028,177072,102747,100906
2021-09-01,1호선,7,신설동,229020,224923,100016,96595
2021-09-01,1호선,8,제기동,197782,192380,244303,264653
2021-09-01,1호선,9,청량리(서울시립대입구),273889,271624,233762,239320
2021-09-01,2호선,11,시청,418259,401158,38544,35071
2021-09-01,2호선,12,을지로입구,731561,745847,73238,68916
2021-09-01,2호선,13,을지로3가,386808,385921,57248,56451
2021-09-01,2호선,14,을지로4가,205515,204397,71708,70561
2021-09-01,2호선,15,동대문역사문화공원(DDP),232721,262175,43126,45429
2021-09-01,2호선,16,신당,247950,258559,81647,83628
2021-09-01,2호선,17,상왕십리,271442,262614,56059,56902
2021-09-01,2호선,18,왕십리(성동구청),322488,256950,41115,33471
2021-09-01,2호선,19,한양대,136543,141268,9756,10127
2021-09-01,2호선,20,뚝섬,439698,473814,47752,48112
2021-09-01,2호선,21,성수,697234,778753,84479,86214
2021-09-01,2호선,22,건대입구,740164,794851,72636,75660
2021-09-01,2호선,23,구의(광진구청),459379,450886,83602,85241
2021-09-01,2호선,24,강변(동서울터미널),652702,641495,93361,91621
2021-09-01,2호선,25,잠실나루,253875,247728,65065,65188
2021-09-01,2호선,26,잠실(송파구청),1407394,1389331,139654,133123
2021-09-01,2호선,27,잠실새내,394454,397931,82574,82445
2021-09-01,2호선,28,종합운동장,128599,136939,31974,33463
2021-09-01,2호선,29,삼성(무역센터),964543,981596,82415,75210
2021-09-01,2호선,30,선릉,975857,867968,163459,145234
2021-09-01,2호선,31,역삼,901992,1004914,115891,117534
2021-09-01,2호선,32,강남,1665279,1635626,135768,120966
2021-09-01,2호선,33,교대(법원.검찰청),606489,687196,114729,128398
2021-09-01,2호선,34,서초,400800,382203,57647,57157
2021-09-01,2호선,35,방배,316312,335986,57073,56444
2021-09-01,2호선,36,사당,687670,761949,138663,133459
2021-09-01,2호선,37,낙성대(강감찬),560275,535689,85113,87033
2021-09-01,2호선,38,서울대입구(관악구청),957670,946986,150915,144382
2021-09-01,2호선,39,봉천,445312,407459,117034,117213
2021-09-01,2호선,40,신림,1304759,1261398,183028,185180
2021-09-01,2호선,41,신대방,526544,509088,103844,104391
2021-09-01,2호선,42,구로디지털단지,1176413,1177413,132014,134077
2021-09-01,2호선,43,대림(구로구청),482410,496086,95692,99412
2021-09-01,2호선,44,신도림,961508,950219,152777,144117
2021-09-01,2호선,45,문래,398107,412006,62629,62021
2021-09-01,2호선,46,영등포구청,419351,426846,82823,81355
2021-09-01,2호선,47,당산,377103,432028,48269,52836
2021-09-01,2호선,48,합정,663805,701363,54338,53720
2021-09-01,2호선,49,홍대입구,1198670,1254403,78094,74544
2021-09-01,2호선,50,신촌,672328,692152,96533,94145
2021-09-01,2호선,51,이대,259864,274060,39266,40343
2021-09-01,2호선,52,아현,192839,184261,53285,52383
2021-09-01,2호선,53,충정로(경기대입구),175695,185007,39596,39512
2021-09-01,2호선,54,용답,50586,50010,15443,15029
2021-09-01,2호선,55,신답,28979,33722,7980,8393
2021-09-01,2호선,56,신설동,53764,42902,27216,22574
2021-09-01,2호선,57,도림천,24900,24894,6177,6316
2021-09-01,2호선,58,양천구청,117980,126396,37952,38378
2021-09-01,2호선,59,신정네거리,181896,189257,58503,59196
2021-09-01,2호선,60,용두(동대문구청),37045,36722,20373,21465
2021-09-01,3호선,61,지축,84943,82606,20007,19175
2021-09-01,3호선,62,구파발,393397,379801,94706,91031
2021-09-01,3호선,63,연신내,684836,642989,218346,211316
2021-09-01,3호선,64,불광,283625,306500,118573,129954
2021-09-01,3호선,65,녹번,293157,262197,62491,62093
2021-09-01,3호선,66,홍제,299564,280848,113689,110656
2021-09-01,3호선,67,무악재,67910,68208,24016,26425
2021-09-01,3호선,68,독립문,116426,123202,58155,57475
2021-09-01,3호선,69,경복궁(정부서울청사),400809,410586,62065,58434
2021-09-01,3호선,70,안국,381846,405890,62392,64727
2021-09-01,3호선,71,종로3가,171814,209268,46977,52012
2021-09-01,3호선,72,을지로3가,173777,181430,40500,38971
2021-09-01,3호선,73,충무로,29,0,0,0
2021-09-01,3호선,74,동대입구,156346,165992,27349,29558
2021-09-01,3호선,75,약수,236700,233851,67347,64401
2021-09-01,3호선,76,금호,146783,136878,43780,43502
2021-09-01,3호선,77,옥수,170438,177927,48372,48103
2021-09-01,3호선,78,압구정,618053,657349,101011,98734
2021-09-01,3호선,79,신사,615697,651235,57186,54424
2021-09-01,3호선,80,잠원,88919,86686,24060,23377
2021-09-01,3호선,81,고속터미널,929369,919613,133713,129260
2021-09-01,3호선,82,교대(법원.검찰청),250575,161464,50128,30743
2021-09-01,3호선,83,남부터미널(예술의전당),569611,588798,93966,95511
2021-09-01,3호선,84,양재(서초구청),710088,780667,113055,114491
2021-09-01,3호선,85,매봉,223197,216226,48917,44671
2021-09-01,3호선,86,도곡,97731,100256,19505,18165
2021-09-01,3호선,87,대치,218464,214159,48706,46776
2021-09-01,3호선,88,학여울,36876,38780,11772,11578
2021-09-01,3호선,89,대청,184390,168124,47192,45399
2021-09-01,3호선,90,일원,174627,171685,48493,48151
2021-09-01,3호선,91,수서,311377,318951,82314,81334
2021-09-01,3호선,92,가락시장,140714,137468,59534,58103
2021-09-01,3호선,93,경찰병원,129513,128606,32724,33477
2021-09-01,3호선,94,오금,118018,108362,22623,21904
2021-09-01,4호선,100,수유(강북구청),661001,655862,156847,155473
2021-09-01,4호선,101,미아(서울사이버대학),271582,260507,89684,91427
2021-09-01,4호선,102,미아사거리,521136,501239,146633,144648
2021-09-01,4호선,103,길음,379931,369590,89461,89269
2021-09-01,4호선,104,성신여대입구(돈암),412078,394308,68391,66761
2021-09-01,4호선,105,한성대입구(삼선교),264542,256575,60933,59863
2021-09-01,4호선,106,혜화,627678,638710,102222,99282
2021-09-01,4호선,107,동대문,328353,343340,118514,115936
2021-09-01,4호선,108,동대문역사문화공원(DDP),292869,270977,42572,38761
2021-09-01,4호선,109,충무로,466179,487263,91485,91743
2021-09-01,4호선,110,명동,361097,376815,45007,46180
2021-09-01,4호선,111,회현(남대문시장),382115,413393,135782,136401
2021-09-01,4호선,112,서울역,193330,300170,29131,34094
2021-09-01,4호선,113,숙대입구(갈월),251967,245547,42248,39302
2021-09-01,4호선,114,삼각지,94103,108679,18729,19374
2021-09-01,4호선,115,신용산,306495,328201,40368,40915
2021-09-01,4호선,116,이촌(국립중앙박물관),139304,158730,35560,37511
2021-09-01,4호선,117,동작(현충원),35116,38353,18508,17877
2021-09-01,4호선,118,총신대입구(이수),327923,358201,123747,130594
2021-09-01,4호선,119,사당,495335,412955,66789,65894
2021-09-01,4호선,120,남태령,21471,17765,7826,7477
2021-09-01,4호선,95,당고개,238920,215840,76309,75607
2021-09-01,4호선,96,상계,362697,334991,98646,96886
2021-09-01,4호선,97,노원,384117,434525,71263,70097
2021-09-01,4호선,98,창동,454686,482929,153675,159290
2021-09-01,4호선,99,쌍문,571493,517395,129626,127358
2021-09-01,경부선,121,서울역,132140,42217,7863,1906
2021-09-01,경부선,122,남영,178706,186936,29003,30254
2021-09-01,경부선,123,용산,727716,736483,97386,95479
2021-09-01,경부선,124,노량진,182811,180955,33751,31223
2021-09-01,경부선,125,대방,235069,242581,53821,53545
2021-09-01,경부선,126,영등포,745110,767933,173103,173334
2021-09-01,경부선,127,신도림,75331,73663,21771,24237
2021-09-01,경부선,151,신길,176925,145481,39594,36561
2021-09-01,경부선,249,구로,360498,370779,77672,75166
2021-09-01,경부선,250,가산디지털단지,345437,418289,28596,32176
2021-09-01,경부선,251,금천구청,215914,214606,64455,64509
2021-09-01,경부선,252,석수,194022,171909,40807,38811
