일시,"		지점번호",평균기온(℃),최저기온(℃),최고기온(℃)
1907-10-01,"		108",13.9,3.3,25.4
1907-11-01,"		108",5.3,-8.9,21.3
1907-12-01,"		108",-3.9,-20.1,9
1908-01-01,"		108",-3.5,-14.3,6.2
1908-02-01,"		108",-4,-15.8,8.4
1908-03-01,"		108",2.9,-7.4,18.2
1908-04-01,"		108",10.1,-0.7,22.9
1908-05-01,"		108",14.9,5.2,25.2
1908-06-01,"		108",20.7,11.6,32.4
1908-07-01,"		108",23.5,14.7,32.9
1908-08-01,"		108",24.3,14.8,33.6
1908-09-01,"		108",19.3,9,28.7
1908-10-01,"		108",13.6,-0.3,25.3
1908-11-01,"		108",3.6,-8.6,18.9
1908-12-01,"		108",-0.8,-12.7,11.7
1909-01-01,"		108",-2.5,-13.6,7.6
1909-02-01,"		108",-3.2,-13.2,8.8
1909-03-01,"		108",1.8,-8.7,15.2
1909-04-01,"		108",10.4,-1.6,23.3
1909-05-01,"		108",15.4,5.7,29.8
1909-06-01,"		108",20.6,11.2,31.7
1909-07-01,"		108",24.6,15.4,31.8
1909-08-01,"		108",25.3,19.8,35.6
1909-09-01,"		108",20.2,10.1,29.5
1909-10-01,"		108",12.2,-0.8,26.5
1909-11-01,"		108",5.2,-7,20.3
1909-12-01,"		108",-3.4,-14.6,11
1910-01-01,"		108",-2.2,-19.9,8
1910-02-01,"		108",-3.4,-19.6,8.3
1910-03-01,"		108",2.5,-8.6,15
1910-04-01,"		108",9.9,-1.8,23
1910-05-01,"		108",16.3,5.9,31
1910-06-01,"		108",19.8,12.4,31.5
1910-07-01,"		108",23.3,15.9,33.3
1910-08-01,"		108",24.2,16.7,32
1910-09-01,"		108",19.1,10.2,27
1910-10-01,"		108",13.7,1.3,24.1
1910-11-01,"		108",5.5,-8.4,20.2
1910-12-01,"		108",-4.6,-16.8,5.8
1911-01-01,"		108",-5,-21.5,8.8
1911-02-01,"		108",-1.1,-11.2,12.5
1911-03-01,"		108",4,-5.3,19.1
1911-04-01,"		108",9.4,0.3,24.1
1911-05-01,"		108",15.6,3.7,30
1911-06-01,"		108",20.3,10.7,30.6
1911-07-01,"		108",23.5,16.9,31
1911-08-01,"		108",25,18,34.5
1911-09-01,"		108",20.8,11,32.8
1911-10-01,"		108",11.6,0.1,22.9
1911-11-01,"		108",6,-4.9,15.7
1911-12-01,"		108",-3,-14.9,9.5
1912-01-01,"		108",-4.7,-15.2,5.4
1912-02-01,"		108",1,-9.9,14.7
1912-03-01,"		108",4.1,-6.8,16.3
1912-04-01,"		108",9.8,-2.5,23.1
1912-05-01,"		108",14.8,4.7,29.7
1912-06-01,"		108",20.7,12.3,30
1912-07-01,"		108",23.8,16,32.2
1912-08-01,"		108",24.6,17.7,34
1912-09-01,"		108",17.7,7.3,32.2
1912-10-01,"		108",11.1,-1.2,25.7
1912-11-01,"		108",1.4,-9.9,16.5
1912-12-01,"		108",-3,-18.6,8.8
1913-01-01,"		108",-5.1,-18.9,6.3
1913-02-01,"		108",-3.7,-19.6,11.5
1913-03-01,"		108",1.9,-12,18.4
1913-04-01,"		108",10.9,0.7,25.6
1913-05-01,"		108",14.4,5,30
1913-06-01,"		108",20.2,13.3,30.8
1913-07-01,"		108",22.3,13,30.7
1913-08-01,"		108",23.8,14.4,31.7
1913-09-01,"		108",19.3,8,30
1913-10-01,"		108",13,-1,30.1
1913-11-01,"		108",4.9,-8.9,17.6
1913-12-01,"		108",-1.9,-16.9,10.9
1914-01-01,"		108",-2.2,-14,9.2
1914-02-01,"		108",0.5,-10.7,12.3
1914-03-01,"		108",5.2,-4.3,17.1
1914-04-01,"		108",10.5,0.1,24.8
1914-05-01,"		108",17.3,6.3,29.1
1914-06-01,"		108",21.4,13,35
1914-07-01,"		108",26.1,19.4,35.6
1914-08-01,"		108",25.5,19.2,34.4
1914-09-01,"		108",20.6,9.7,32.4
1914-10-01,"		108",13.7,1.9,24.1
1914-11-01,"		108",6.1,-7,21.1
1914-12-01,"		108",-1,-10.2,14.1
1915-01-01,"		108",-3.9,-21.3,12
1915-02-01,"		108",-2.7,-16.3,11
1915-03-01,"		108",0.6,-14.1,16.7
1915-04-01,"		108",9.4,-2,22.3
1915-05-01,"		108",15.3,4.1,28.3
1915-06-01,"		108",20.7,14.1,30.5
1915-07-01,"		108",25.1,15.6,33.9
1915-08-01,"		108",24.4,16.3,34.8
1915-09-01,"		108",19.3,9.3,27.9
1915-10-01,"		108",14.7,-1.7,26.8
1915-11-01,"		108",6.2,-6.4,17.8
1915-12-01,"		108",0.8,-12.8,13.5
1916-01-01,"		108",0,-12.5,12.2
1916-02-01,"		108",-0.8,-9.5,12
1916-03-01,"		108",0.4,-10.1,14.2
1916-04-01,"		108",10.5,-3.9,24.2
1916-05-01,"		108",14.5,3.3,29.7
1916-06-01,"		108",20.1,9.6,32.2
